ds,y
2022-01-01 06:00:00,3710.33
2022-01-01 07:00:00,3714.59
2022-01-01 08:00:00,3720.88
2022-01-01 09:00:00,3715.85
2022-01-01 10:00:00,3691.49
2022-01-01 11:00:00,3693.24
2022-01-01 12:00:00,3716.94
2022-01-01 13:00:00,3710.46
2022-01-01 14:00:00,3698.51
2022-01-01 15:00:00,3726.65
2022-01-01 16:00:00,3728.81
2022-01-01 17:00:00,3762.14
2022-01-01 18:00:00,3754.32
2022-01-01 19:00:00,3748.55
2022-01-01 20:00:00,3762.66
2022-01-01 21:00:00,3749.55
2022-01-01 22:00:00,3759.01
2022-01-01 23:00:00,3765.72
2022-01-02 00:00:00,3763.57
2022-01-02 01:00:00,3748.15
2022-01-02 02:00:00,3747.25
2022-01-02 03:00:00,3759.55
2022-01-02 04:00:00,3724.72
2022-01-02 05:00:00,3744.87
2022-01-02 06:00:00,3739.27
2022-01-02 07:00:00,3748.58
2022-01-02 08:00:00,3744.37
2022-01-02 09:00:00,3754.31
2022-01-02 10:00:00,3743.94
2022-01-02 11:00:00,3744.71
2022-01-02 12:00:00,3754.9
2022-01-02 13:00:00,3745.34
2022-01-02 14:00:00,3753.12
2022-01-02 15:00:00,3778.99
2022-01-02 16:00:00,3839.17
2022-01-02 17:00:00,3826.31
2022-01-02 18:00:00,3795.86
2022-01-02 19:00:00,3800.24
2022-01-02 20:00:00,3810.87
2022-01-02 21:00:00,3812.66
2022-01-02 22:00:00,3829.58
2022-01-02 23:00:00,3831.11
2022-01-03 00:00:00,3808.27
2022-01-03 01:00:00,3806.15
2022-01-03 02:00:00,3798.34
2022-01-03 03:00:00,3786.0
2022-01-03 04:00:00,3792.07
2022-01-03 05:00:00,3812.77
2022-01-03 06:00:00,3803.51
2022-01-03 07:00:00,3808.86
2022-01-03 08:00:00,3808.07
2022-01-03 09:00:00,3809.68
2022-01-03 10:00:00,3824.14
2022-01-03 11:00:00,3835.69
2022-01-03 12:00:00,3819.46
2022-01-03 13:00:00,3819.35
2022-01-03 14:00:00,3804.37
2022-01-03 15:00:00,3783.21
2022-01-03 16:00:00,3748.93
2022-01-03 17:00:00,3761.02
2022-01-03 18:00:00,3752.77
2022-01-03 19:00:00,3738.95
2022-01-03 20:00:00,3699.44
2022-01-03 21:00:00,3723.9
2022-01-03 22:00:00,3751.62
2022-01-03 23:00:00,3766.04
